stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"['about as exciting', 'as gazing', 'at an egg', 'timer']","['It feels', 'effects,', 'and watching', 'points', 'about as exciting', 'as gazing', 'timer']","['after-school', 'gussied up', 'fancy', 'and watching', 'its rote', 'plot', 'points', 'at an egg', 'for 93']","['It feels', 'like an', 'special', 'gussied up', 'fancy', 'its rote', 'about as exciting', 'timer', 'for 93']","['like an', 'special', 'gussied up', 'fancy', 'effects,', 'connect is', 'as gazing', 'at an egg']","['It feels', 'like an', 'special', 'gussied up', 'fancy', 'effects,', 'connect is', 'as gazing', 'at an egg']","['It feels', 'gussied up', 'with some', 'special', 'and watching', 'timer']","['like an', 'special', 'gussied up', 'effects,', 'points', 'about as exciting', 'timer']","['after-school', 'its rote', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['like an', 'special', 'gussied up', 'effects,', 'points', 'about as exciting', 'as gazing', 'timer', 'for 93']","['like an', 'after-school', 'special', 'its rote', 'plot', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['like an', 'after-school', 'special', 'its rote', 'plot', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'its rote', 'plot', 'as gazing', 'at an egg', 'for 93']","['after-school', 'with some', 'fancy', 'plot', 'connect is', 'as gazing', 'at an egg', 'timer']","['like an', 'after-school', 'with some', 'special', 'its rote', 'connect is', 'as gazing', 'at an egg', 'for 93']","['special', 'with some', 'plot', 'points', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['It feels', 'gussied up', 'effects,', 'its rote', 'points', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['with some', 'plot', 'points', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']"
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"['are stretched', 'to the point', 'of evaporation;', 'no goal']","['few ideas', 'are stretched', 'to the point', 'one', 'big', 'seems to have']","[""The film's"", 'few ideas', 'are stretched', 'of evaporation;', 'central', 'chase that']","['one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","[""The film's"", 'to the point', 'the whole', 'one', 'big', 'and no urgency.']","[""The film's"", 'the whole', 'one', 'big', 'no goal', 'and no urgency.']","['to the point', 'section is', 'one', 'big', 'seems to have', 'no goal']","['few ideas', 'to the point', 'section is', 'big']","[""The film's"", 'few ideas', 'are stretched', 'the whole', 'chase that']","[""The film's"", 'few ideas', 'are stretched', 'of evaporation;', 'one', 'big']","['few ideas', 'are stretched', 'of evaporation;', 'the whole', 'central', 'and no urgency.']","['few ideas', 'are stretched', 'of evaporation;', 'the whole', 'one', 'chase that']","['few ideas', 'are stretched', 'of evaporation;']","['few ideas', 'of evaporation;', 'the whole', 'chase that', 'seems to have', 'and no urgency.']","['few ideas', 'of evaporation;', 'the whole', 'central', 'one', 'no goal']","['few ideas', 'of evaporation;', 'one', 'chase that', 'seems to have', 'no goal']","['few ideas', 'the whole', 'section is', 'one', 'seems to have', 'no goal']","[""The film's"", 'to the point', 'of evaporation;', 'the whole', 'chase that', 'seems to have']"
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"['no cliche', 'the predictable', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters']","['The movie,', 'Mick', 'leaves', 'no cliche', 'straight']","['Jackson,', 'leaves', 'no cliche', 'unturned, from', 'out of central']","['The movie,', 'no cliche', 'the predictable', 'the characters', 'straight']","['The movie,', 'no cliche', 'the characters', 'straight', 'casting.']",[],"['The movie,', 'Mick', 'no cliche', 'unturned, from', 'out of central']",[],"['The movie,', 'Mick', 'leaves', 'unturned, from', 'out of central']","['The movie,', 'Mick', 'leaves', 'the characters', 'out of central']","['The movie,', 'Jackson,', 'leaves', 'the characters', 'out of central']","['The movie,', 'leaves', 'the predictable', 'the characters', 'out of central']","['Jackson,']","['directed by', 'Jackson,', 'leaves', 'the predictable', 'the characters']","['Mick', 'Jackson,', 'leaves', 'plot to', 'the characters']","['directed by', 'Jackson,', 'leaves', 'plot to', 'the characters']","['The movie,', 'leaves', 'the predictable', 'plot to', 'the characters']"
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,"[""Some 'friends'"", 'get bitter']","['get bitter', 'your life']","[""Some 'friends'"", 'get bitter']","['when it seems', 'your life']",['when it seems'],"['when it seems', 'your life']",['your life'],['your life'],"['when it seems', 'is moving']","['when it seems', 'your life']","[""Some 'friends'"", 'when it seems']","[""Some 'friends'"", 'when it seems']","[""Some 'friends'"", 'when it seems']","['is moving', 'better than theirs.']","['when it seems', 'better than theirs.']","['get bitter', 'your life']","['when it seems', 'your life']","[""Some 'friends'"", 'your life']"
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,"['have some mistrust', 'The cover up']","['@BBCBreaking I', 'have some mistrust', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'profession.¬†']","['The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'of the medical']","['@BBCBreaking I', 'was more important than the', 'patients.']","['profession.¬†', 'The cover up']","['@BBCBreaking I', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'of the medical', 'patients.']","['@BBCBreaking I', 'of the medical', 'patients.']","['@BBCBreaking I', 'The cover up', 'patients.']","['@BBCBreaking I', 'profession.¬†', 'The cover up']","['@BBCBreaking I', 'was more important than the', 'patients.']","['of the medical', 'profession.¬†', 'was more important than the']","['@BBCBreaking I', 'profession.¬†', 'The cover up']","['@BBCBreaking I', 'profession.¬†', 'The cover up']"
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"['drugs', 'destroy an', 'on skid', 'row.', 'lost', 'her child.', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', 'on skid', 'lost', 'Father is']","['watch', 'drugs', 'destroy an', ""Mother's"", 'on skid', 'Oldest', 'estranged.']","['watch', 'family', 'on skid', 'daughter', 'her child.', 'Father is', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', 'daughter', 'her child.', 'estranged.']","['watch', 'destroy an', 'entire', 'on skid', 'daughter', 'her child.', 'estranged.']","['family', ""Mother's"", 'row.', 'daughter', 'her child.']","['I have actually', 'watch', 'entire', 'family', 'on skid', 'Oldest', 'lost']","['watch', 'entire', 'on skid', 'Oldest', 'lost', 'Father is', 'estranged.']","['I have actually', 'watch', 'entire', 'family', 'on skid', 'Oldest', 'her child.']","['I have actually', 'destroy an', 'entire', 'Oldest', 'daughter', 'her child.', 'estranged.']","['I have actually', 'destroy an', 'entire', 'Oldest', 'daughter', 'her child.', 'estranged.']","['I have actually', 'destroy an', 'entire', 'Oldest', 'daughter', 'her child.', 'estranged.']","['watch', ""Mother's"", 'row.', 'daughter', 'her child.']","['watch', 'destroy an', 'row.', 'Oldest', 'daughter', 'her child.', 'Father is']","['I have actually', 'watch', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid']","['I have actually', 'drugs', 'row.', 'daughter', 'lost', 'her child.', 'Father is']","['watch', 'destroy an', 'family', ""Mother's"", 'on skid', 'row.']"
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,"[""can't get"", 'no satisfaction.']","['despite', 'the dynamic', ""can't get""]","[""It's so mediocre,"", 'despite', 'no satisfaction.']","['duo', 'that we just', 'no satisfaction.']","[""It's so mediocre,"", ""can't get"", 'no satisfaction.']","['duo', ""can't get"", 'no satisfaction.']",['no satisfaction.'],"[""It's so mediocre,"", 'despite', 'that we just']",['the dynamic'],"[""It's so mediocre,"", 'despite', 'on the marquee,']","['despite', 'on the marquee,', ""can't get""]","['despite', 'on the marquee,', ""can't get""]","[""It's so mediocre,"", 'despite', 'on the marquee,']",['the dynamic'],"['the dynamic', ""can't get"", 'no satisfaction.']","['despite', 'duo', 'that we just']","['despite', 'duo', 'on the marquee,']","[""It's so mediocre,"", 'despite', 'that we just']"
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"['and wailing,', 'tears,', 'rage', ""overdoses, there's""]","['For all the writhing', 'rage', 'no sense of', 'away in', ""love's""]","['tears,', 'passion', 'being washed', ""love's"", 'dissolution.']","['For all the writhing', 'tears,', 'rage', 'actual']","['no sense of', 'being washed', ""love's"", 'dissolution.']","['For all the writhing', 'no sense of', 'being washed', ""love's"", 'dissolution.']","[""love's""]","[""overdoses, there's"", 'no sense of', 'passion', 'away in', 'dissolution.']",['being washed'],"['For all the writhing', ""overdoses, there's"", 'no sense of', 'passion', 'dissolution.']","['tears,', ""overdoses, there's"", 'no sense of', 'actual', 'being washed']","['For all the writhing', 'tears,', 'rage', ""overdoses, there's"", 'being washed']","['For all the writhing', ""overdoses, there's"", 'no sense of', 'actual', 'being washed']","['and wailing,', 'tears,', 'being washed']","['and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'being washed']","['rage', 'and opium', ""overdoses, there's"", 'no sense of', 'passion']","['and opium', 'no sense of', 'actual', 'passion', 'being washed']","['For all the writhing', 'and opium', 'actual', 'passion', 'being washed']"
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
