stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"['about as exciting', 'as gazing', 'at an egg', 'timer']","['It feels', 'effects,', 'and watching', 'points', 'about as exciting', 'as gazing', 'timer']","['after-school', 'gussied up', 'fancy', 'and watching', 'its rote', 'plot', 'points', 'at an egg', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'at an egg']","['after-school', 'gussied up', 'and watching', 'its rote', 'connect is', 'about as exciting', 'as gazing', 'at an egg']","['after-school', 'special', 'gussied up', 'with some', 'and watching', 'its rote', 'connect is', 'about as exciting', 'at an egg']","['like an', 'gussied up', 'with some', 'special', 'plot', 'at an egg']","['like an', 'special', 'gussied up', 'with some', 'special', 'effects,', 'and watching', 'points', 'about as exciting']","['It feels', 'its rote', 'points', 'about as exciting', 'as gazing', 'timer']","['It feels', 'special', 'gussied up', 'with some', 'special', 'effects,', 'and watching', 'its rote', 'about as exciting']","['It feels', 'gussied up', 'with some', 'special', 'and watching', 'its rote', 'connect is', 'about as exciting', 'as gazing']","['It feels', 'gussied up', 'with some', 'special', 'and watching', 'its rote', 'connect is', 'about as exciting', 'as gazing']","['after-school', 'gussied up', 'and watching', 'its rote', 'connect is', 'about as exciting', 'as gazing', 'at an egg']","['special', 'gussied up', 'fancy', 'special', 'points', 'connect is', 'as gazing', 'for 93']","['It feels', 'gussied up', 'with some', 'fancy', 'special', 'its rote', 'connect is', 'as gazing', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'fancy', 'special', 'effects,', 'connect is', 'about as exciting']","['It feels', 'like an', 'after-school', 'fancy', 'special', 'points', 'connect is', 'about as exciting', 'for 93']","['like an', 'gussied up', 'fancy', 'its rote', 'plot', 'points', 'timer', 'for 93']"
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"['are stretched', 'to the point', 'of evaporation;', 'no goal']","['few ideas', 'are stretched', 'to the point', 'one', 'big', 'seems to have']","[""The film's"", 'few ideas', 'are stretched', 'of evaporation;', 'central', 'chase that']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole']","['are stretched', 'of evaporation;', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'of evaporation;', 'section is', 'and no urgency.']","['few ideas', 'are stretched', 'to the point', 'section is', 'one', 'big']","['few ideas', 'are stretched', 'the whole', 'central', 'chase that', 'and no urgency.']","[""The film's"", 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'of evaporation;', 'the whole', 'central', 'chase that', 'and no urgency.']","[""The film's"", 'to the point', 'of evaporation;', 'chase that', 'seems to have', 'and no urgency.']","[""The film's"", 'to the point', 'of evaporation;', 'chase that', 'seems to have', 'and no urgency.']","['are stretched', 'of evaporation;', 'and no urgency.']","[""The film's"", 'central', 'section is', 'one', 'chase that', 'and no urgency.']","[""The film's"", 'to the point', 'of evaporation;', 'one', 'chase that', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'the whole', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'section is', 'one', 'no goal', 'and no urgency.']","['few ideas', 'one', 'big']"
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"['no cliche', 'the predictable', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters']","['The movie,', 'Mick', 'leaves', 'no cliche', 'straight']","['The movie,', 'directed by', 'leaves', 'no cliche', 'unturned, from']","['unturned, from', 'out of central']","['The movie,', 'no cliche', 'unturned, from', 'the predictable', 'the characters']",[],"['Jackson,', 'unturned, from', 'the predictable', 'the characters', 'casting.']",[],"['no cliche', 'unturned, from', 'the predictable', 'the characters', 'casting.']","['The movie,', 'no cliche', 'unturned, from', 'the predictable', 'the characters']","['The movie,', 'no cliche', 'unturned, from', 'the predictable', 'the characters']","['unturned, from', 'out of central']","['Jackson,']","['The movie,', 'Jackson,', 'leaves', 'plot to', 'casting.']","['The movie,', 'directed by', 'unturned, from', 'out of central', 'casting.']","['directed by', 'Jackson,', 'leaves', 'plot to', 'out of central']","['Mick', 'leaves']"
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,"[""Some 'friends'"", 'get bitter']","['get bitter', 'your life']","[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'when it seems']",['better than theirs.'],"[""Some 'friends'"", 'better than theirs.']",['your life'],"['your life', 'better than theirs.']","[""Some 'friends'""]","['your life', 'better than theirs.']","[""Some 'friends'"", 'better than theirs.']","[""Some 'friends'"", 'better than theirs.']",['better than theirs.'],"['is moving', 'better than theirs.']","['get bitter', 'is moving']","[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'get bitter']",['get bitter']
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,"['have some mistrust', 'The cover up']","['@BBCBreaking I', 'have some mistrust', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'profession.¬†']","['@BBCBreaking I', 'have some mistrust', 'profession.¬†']","['have some mistrust', 'was more important than the']","['@BBCBreaking I', 'have some mistrust', 'was more important than the']","['of the medical', 'profession.¬†', 'patients.']","['The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'was more important than the']","['The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'was more important than the']","['@BBCBreaking I', 'have some mistrust', 'was more important than the']","['have some mistrust', 'was more important than the']","['@BBCBreaking I', 'profession.¬†', 'The cover up']","['profession.¬†', 'The cover up', 'patients.']","['@BBCBreaking I', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'profession.¬†', 'The cover up']","['The cover up', 'patients.']"
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"['drugs', 'destroy an', 'on skid', 'row.', 'lost', 'her child.', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', 'on skid', 'lost', 'Father is']","['watch', 'drugs', 'destroy an', ""Mother's"", 'on skid', 'Oldest', 'estranged.']","['I have actually', 'watch', 'drugs', 'family', ""Mother's"", 'on skid', 'Oldest']","['destroy an', ""Mother's"", 'on skid', 'her child.', 'Father is', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', ""Mother's"", 'on skid', 'estranged.']","['drugs', 'family', ""Mother's"", 'row.', 'daughter']","['drugs', 'destroy an', 'family', 'on skid', 'row.', 'daughter', 'estranged.']","['I have actually', 'destroy an', 'Oldest', 'her child.', 'estranged.']","['drugs', 'destroy an', 'family', 'on skid', 'row.', 'daughter', 'estranged.']","['I have actually', 'watch', 'destroy an', 'on skid', 'Oldest', 'her child.', 'estranged.']","['I have actually', 'watch', 'on skid', 'Oldest', 'lost', 'her child.', 'estranged.']","['destroy an', ""Mother's"", 'on skid', 'her child.', 'Father is', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', 'Oldest', 'lost', 'Father is']","['watch', 'destroy an', 'entire', 'on skid', 'Oldest', 'lost', 'estranged.']","['I have actually', 'watch', 'drugs', 'on skid', 'row.', 'daughter', 'estranged.']","['I have actually', 'watch', 'family', 'on skid', 'row.', 'lost', 'estranged.']","['watch', 'drugs', ""Mother's"", 'on skid', 'Oldest', 'lost']"
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,"[""can't get"", 'no satisfaction.']","['despite', 'the dynamic', ""can't get""]","[""It's so mediocre,"", 'despite', 'no satisfaction.']","[""It's so mediocre,"", 'the dynamic', 'that we just']","['on the marquee,', 'no satisfaction.']","[""It's so mediocre,"", ""can't get"", 'no satisfaction.']",['no satisfaction.'],"['the dynamic', ""can't get"", 'no satisfaction.']","['on the marquee,']","['on the marquee,', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'on the marquee,']","[""It's so mediocre,"", 'despite', 'on the marquee,']","['on the marquee,', 'no satisfaction.']",['despite'],"[""It's so mediocre,"", 'despite', ""can't get""]","[""It's so mediocre,"", 'despite', 'that we just']","[""It's so mediocre,"", 'the dynamic', 'that we just']","['despite', 'duo']"
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"['and wailing,', 'tears,', 'rage', ""overdoses, there's""]","['For all the writhing', 'rage', 'no sense of', 'away in', ""love's""]","['tears,', 'passion', 'being washed', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'rage', 'and opium']","['and wailing,', 'and opium', ""overdoses, there's"", 'being washed']","['For all the writhing', ""overdoses, there's"", 'no sense of', 'being washed', 'dissolution.']","[""love's""]","[""overdoses, there's"", 'passion', 'being washed', ""love's"", 'dissolution.']",['For all the writhing'],"['For all the writhing', ""overdoses, there's"", 'passion', 'being washed', 'dissolution.']","['For all the writhing', 'and wailing,', ""overdoses, there's"", 'no sense of', 'being washed']","['For all the writhing', ""overdoses, there's"", 'no sense of', 'being washed', 'dissolution.']","['and wailing,', 'and opium', ""overdoses, there's"", 'being washed']","['and wailing,', 'tears,', 'rage']","['and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'being washed']","['For all the writhing', 'and wailing,', 'tears,', ""overdoses, there's"", 'away in']","['For all the writhing', 'and wailing,', 'tears,', ""overdoses, there's"", 'away in']","['tears,', 'rage', 'and opium', ""love's""]"
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",Negative,"['the dark', ""room I've"", 'mosquito', 'bites.']","['left', '& instead of', 'bites.']","['left', ""room I've"", '& instead of', 'my translucent', 'mosquito']","['I finally', 'left', 'the dark', ""room I've"", 'some sun on']","['been crying in', '& instead of', 'my translucent']","['the dark', 'been crying in', '& instead of', 'my translucent', 'I got 6000']",[],"['the dark', '& instead of', 'some sun on', 'bites.']",[],"['the dark', 'some sun on', 'my translucent', 'bites.']","['I finally', 'left', 'been crying in', 'my translucent', 'bites.']","['I finally', 'been crying in', 'some sun on', 'my translucent']","['been crying in', '& instead of', 'my translucent']",[],"['I finally', 'getting', 'mosquito', 'bites.']","['left', 'getting', 'some sun on', 'my translucent', 'skin,']","['left', 'getting', 'some sun on', 'my translucent', 'bites.']","['left', ""room I've"", 'mosquito']"
